link,year,name,city,state,zip_code,us_news_rank,us_news_category,in_state_tuition,out_state_tuition,room_and_board,enrollment,app_deadline,public_status,coed_status,year_founded,religious_affiliation,calendar,setting,endowment,med_alum_start_salary,selectivity,acceptance_rate,student_faculty_ratio,four_yr_grad_rate,undergrad_pop,sports_division,men_greek_pct,women_greek_pct,on_campus_crimes,on_campus_pct,first_gen_pct,male_pct,female_pct
https://www.usnews.com/best-colleges/princeton-university-2627,2021,Princeton University,Princeton,NJ,08544,1,National Universities,53890,53890,17820,8419,Jan. 1,Private,Coed,1746,None,Semester,Suburban,$25.6 billion +,70200,Most selective,6,5:1,90,5422,NCAA I,NA,NA,66,96,28,50,50
https://www.usnews.com/best-colleges/harvard-university-2155,2021,Harvard University,Cambridge,MA,02138,2,National Universities,54002,54002,18389,21015,Jan. 1,Private,Coed,1636,None,Semester,Urban,$40.9 billion +,69000,Most selective,5,6:1,85,6755,NCAA I,NA,NA,101,98,26,51,49
https://www.usnews.com/best-colleges/columbia-university-2707,2021,Columbia University,New York,NY,10027,3,National Universities,64380,64380,14970,24408,Jan. 1,Private,Coed,1754,None,Semester,Urban,$11.0 billion,67500,Most selective,5,6:1,87,6245,NCAA I,20,14,41,92,25,50,50
https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178,2021,Massachusetts Institute of Technology,Cambridge,MA,02139,4,National Universities,53818,53818,12000,11520,Jan. 1,Private,Coed,1861,None,4-1-4,Urban,$17.4 billion +,82300,Most selective,7,3:1,87,4530,NCAA III,45,25,59,92,26,53,47
https://www.usnews.com/best-colleges/yale-university-1426,2021,Yale University,New Haven,CT,06520,4,National Universities,57700,57700,17200,13609,Jan. 2,Private,Coed,1701,None,Semester,City,$30.3 billion,64500,Most selective,6,6:1,88,6092,NCAA I,NA,NA,80,84,25,51,49
https://www.usnews.com/best-colleges/stanford-university-1305,2021,Stanford University,Stanford,CA,94305,6,National Universities,56169,56169,17255,17249,Jan. 2,Private,Coed,1885,None,Quarter,Suburban,$27.7 billion,73800,Most selective,4,5:1,73,6996,NCAA I,18,24,145,93,30,50,50
https://www.usnews.com/best-colleges/university-of-chicago-1774,2021,University of Chicago,Chicago,IL,60637,6,National Universities,59298,59298,17004,14739,Jan. 4,Private,Coed,1890,None,Quarter,Urban,$7.2 billion +,60100,Most selective,6,5:1,90,6734,NCAA III,NA,NA,49,52,20,51,49
https://www.usnews.com/best-colleges/university-of-pennsylvania-3378,2021,University of Pennsylvania,Philadelphia,PA,19104,8,National Universities,60042,60042,16784,22432,Jan. 5,Private,Coed,1740,None,Semester,Urban,$14.6 billion +,68100,Most selective,8,6:1,86,10019,NCAA I,NA,NA,32,NA,19,52,48
https://www.usnews.com/best-colleges/california-institute-of-technology-1131,2021,California Institute of Technology,Pasadena,CA,91125,9,National Universities,56862,56862,17337,2237,Jan. 3,Private,Coed,1891,None,Quarter,Suburban,$3.0 billion,83200,Most selective,6,3:1,84,938,NCAA III,0,0,80,94,NA,55,45
https://www.usnews.com/best-colleges/jhu-2077,2021,Johns Hopkins University,Baltimore,MD,21218,9,National Universities,57010,57010,16800,27092,Jan. 2,Private,Coed,1876,None,Semester,Urban,$6.3 billion,66100,Most selective,10,6:1,88,6256,NCAA III,20,32,37,47,13,52,48
